,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,FFHL,Fuwei Films (Holdings) Co Ltd,5.420000076,False,2009.0,,12-Nov,26-Jan,6.0,6.0,5.0,5.0,12-Nov,26-Jan,8.279198137,29-Dec,27-Feb,7.0,4.0,7.0,4.0,29-Dec,27-Feb,10.44364972,2-Dec,16-Jan,7.0,4.0,7.0,4.0,2-Dec,16-Jan,8.570053787,27-Dec,26-Jan,8.0,3.0,8.0,3.0,27-Dec,26-Jan,10.97948582,7-Oct,22-Oct,7.0,4.0,7.0,4.0,7-Oct,22-Oct,4.269502891
1,FTFT,Future FinTech Group Inc,2.130000114,False,2009.0,,22-Nov,5-Feb,6.0,6.0,5.0,5.0,22-Nov,5-Feb,11.67096888,15-Dec,13-Feb,7.0,4.0,7.0,4.0,15-Dec,13-Feb,11.09010356,15-Dec,29-Jan,8.0,3.0,8.0,3.0,15-Dec,29-Jan,14.57657705,19-Dec,18-Jan,7.0,4.0,7.0,4.0,19-Dec,18-Jan,13.89162608,31-Dec,15-Jan,9.0,2.0,9.0,2.0,31-Dec,15-Jan,8.329229349
2,FFRMF,Future Farm Technologies Inc,0.022000000000000002,False,2009.0,,13-Dec,26-Feb,4.0,4.0,7.0,7.0,13-Dec,26-Feb,13.14226487,13-Dec,11-Feb,4.0,7.0,4.0,7.0,13-Dec,11-Feb,14.59190709,18-Dec,1-Feb,3.0,8.0,3.0,8.0,18-Dec,1-Feb,14.58167903,16-Dec,15-Jan,3.0,8.0,3.0,8.0,16-Dec,15-Jan,7.189091092999999,9-Jul,24-Jul,2.0,9.0,2.0,9.0,9-Jul,24-Jul,1.715552687
3,FZMD,Fuse Medical Inc,0.10000000099999999,False,2009.0,,22-Nov,5-Feb,7.0,7.0,4.0,4.0,22-Nov,5-Feb,29.28830592,7-Dec,5-Feb,7.0,4.0,7.0,4.0,12-Jan,12-Mar,34.05219483,10-Jan,24-Feb,7.0,4.0,7.0,4.0,10-Jan,24-Feb,13.130747,11-Feb,12-Mar,8.0,3.0,8.0,3.0,11-Feb,12-Mar,5.144984796,12-Jan,27-Jan,5.0,6.0,5.0,6.0,12-Jan,27-Jan,15.20907057
4,FUSEF,Fuse Cobalt Inc,0.02238,False,2010.0,,8-Dec,21-Feb,6.0,6.0,4.0,4.0,8-Dec,21-Feb,-1.520725314,29-Dec,27-Feb,6.0,4.0,6.0,4.0,29-Dec,27-Feb,17.67906409,29-Dec,12-Feb,5.0,5.0,5.0,5.0,29-Dec,12-Feb,16.23642926,26-Dec,25-Jan,6.0,4.0,6.0,4.0,26-Dec,25-Jan,19.36245544,29-Dec,13-Jan,5.0,5.0,5.0,5.0,29-Dec,13-Jan,13.769160300000001
5,FUWAF,Furukawa Electric Co Ltd,25.0,False,2009.0,,21-Oct,4-Jan,2.0,3.0,9.0,8.0,10-Apr,24-Jun,4.05786795,24-Oct,23-Dec,1.0,10.0,3.0,8.0,25-Apr,24-Jun,3.186553918,10-Nov,25-Dec,1.0,10.0,2.0,9.0,8-Oct,22-Nov,3.043414435,22-Mar,21-Apr,3.0,8.0,0.0,11.0,15-Oct,14-Nov,2.7333372110000003,22-Mar,6-Apr,0.0,11.0,0.0,11.0,6-Nov,21-Nov,3.31961205
6,FQFC,Fuquan Financial Co,0.006,False,2009.0,,31-Dec,16-Mar,7.0,7.0,4.0,4.0,31-Dec,16-Mar,29.37941226,1-Mar,30-Apr,5.0,6.0,5.0,6.0,1-Mar,30-Apr,19.62773957,1-Mar,15-Apr,5.0,6.0,5.0,6.0,1-Mar,15-Apr,13.13577811,29-Dec,28-Jan,5.0,6.0,5.0,6.0,29-Dec,28-Jan,22.43298396,26-Jan,10-Feb,3.0,8.0,3.0,8.0,26-Jan,10-Feb,8.279380537
7,FNDM,Fund.com Inc,2.75999999,False,2010.0,,21-Aug,4-Nov,2.0,2.0,8.0,8.0,21-Aug,4-Nov,25.22390158,5-Sep,4-Nov,3.0,7.0,3.0,7.0,5-Sep,4-Nov,23.88364322,19-Sep,3-Nov,3.0,7.0,3.0,7.0,19-Sep,3-Nov,21.99351338,5-Sep,5-Oct,3.0,7.0,3.0,7.0,5-Sep,5-Oct,12.79867844,17-Dec,1-Jan,2.0,8.0,2.0,8.0,17-Dec,1-Jan,11.56379946
8,FULT,Fulton Financial Corp,13.11999989,False,2009.0,,22-Sep,6-Dec,8.0,8.0,3.0,3.0,29-Oct,12-Jan,5.23101849,1-Sep,31-Oct,6.0,5.0,6.0,5.0,2-Oct,1-Dec,9.913528611,21-Sep,5-Nov,5.0,6.0,5.0,6.0,3-Feb,19-Mar,3.142836009,26-Sep,26-Oct,4.0,7.0,4.0,7.0,25-Sep,25-Oct,5.147071746,2-Feb,17-Feb,6.0,5.0,6.0,5.0,2-Feb,17-Feb,2.563494895
9,FULO,Fullnet Communications Inc,0.071000002,False,2009.0,,9-Jun,23-Aug,1.0,1.0,10.0,10.0,9-Jun,23-Aug,3.0452739139999996,2-Jun,1-Aug,1.0,10.0,1.0,10.0,2-Jun,1-Aug,7.509920765,20-Nov,4-Jan,1.0,10.0,1.0,10.0,20-Nov,4-Jan,21.03458062,21-Mar,20-Apr,2.0,9.0,2.0,9.0,21-Mar,20-Apr,19.62963033,16-Dec,31-Dec,0.0,11.0,0.0,11.0,16-Dec,31-Dec,15.555555800000002
