symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
TSN,Tyson Foods Inc,62.34000015,FALSE,2009,,25-Oct,8-Jan,7,7,4,4,25-Oct,8-Jan,7.091346449,25-Oct,24-Dec,8,3,7,4,25-Oct,24-Dec,7.127242213,5-Aug,19-Sep,8,3,8,3,25-Oct,9-Dec,7.170952884,26-Oct,25-Nov,5,6,5,6,26-Oct,25-Nov,4.922841647,3-Aug,18-Aug,6,5,6,5,3-Aug,18-Aug,2.557810113
TYPFF,Typhoon Exploration Inc,0.050000001,FALSE,2010,,5-Jul,18-Sep,3,3,7,7,5-Jul,18-Sep,2.785341814,19-Jul,17-Sep,3,7,3,7,19-Jul,17-Sep,9.305796345,22-Jul,5-Sep,1,9,1,9,22-Jul,5-Sep,9.817656205,18-Aug,17-Sep,1,9,1,9,18-Aug,17-Sep,13.19682063,18-Aug,2-Sep,2,8,2,8,18-Aug,2-Sep,12.73510354
TIPNF,Tyner Resources Ltd,0.100000001,FALSE,2010,,19-Jan,3-Apr,3,3,7,7,19-Jan,3-Apr,9.154663115,3-Feb,3-Apr,4,6,4,6,3-Feb,3-Apr,7.588582068,10-Mar,24-Apr,4,6,4,6,10-Mar,24-Apr,11.61808415,12-Mar,11-Apr,2,8,2,8,12-Mar,11-Apr,10.8713779,16-Mar,31-Mar,1,9,1,9,16-Mar,31-Mar,8.113888711
TYL,Tyler Technologies Inc,414.3800049,FALSE,2009,,8-May,22-Jul,7,7,4,4,8-May,22-Jul,11.69262662,8-Aug,7-Oct,8,3,8,3,8-Aug,7-Oct,8.148526596,15-Mar,29-Apr,8,3,8,3,15-Mar,29-Apr,8.278455882,1-Apr,1-May,8,3,8,3,1-Apr,1-May,6.032967118,23-May,7-Jun,7,4,7,4,23-May,7-Jun,2.884270784
TXHG,TX Holdings Inc,0.0125,FALSE,2009,,19-Nov,2-Feb,5,5,6,6,19-Nov,2-Feb,25.56706186,15-Nov,14-Jan,6,5,6,5,15-Nov,14-Jan,20.40947097,29-Nov,13-Jan,6,5,6,5,29-Nov,13-Jan,16.25210226,25-Jun,25-Jul,5,6,5,6,25-Jun,25-Jul,12.34091684,12-Feb,27-Feb,4,7,4,7,12-Feb,27-Feb,5.131891973
TURV,Two Rivers Water & Farming Co,0.074100003,FALSE,2009,,27-May,10-Aug,4,4,7,7,27-May,10-Aug,-3.232677431,24-Jul,22-Sep,1,10,1,10,24-Jul,22-Sep,11.48564462,14-Dec,28-Jan,4,7,4,7,14-Dec,28-Jan,2.038854582,6-Dec,5-Jan,5,6,5,6,6-Dec,5-Jan,10.53744001,25-Aug,9-Sep,4,7,4,7,25-Aug,9-Sep,10.29868528
TRVR,Two Rivers Financial Group Inc,26,FALSE,2009,,1-Nov,15-Jan,5,5,6,6,27-Mar,10-Jun,4.158960972,6-Oct,5-Dec,7,4,7,4,27-Mar,26-May,3.106262454,5-Oct,19-Nov,7,4,7,4,5-Oct,19-Nov,3.182261379,18-Oct,17-Nov,4,7,4,7,18-Oct,17-Nov,3.057223454,4-Nov,19-Nov,5,6,4,7,4-Nov,19-Nov,2.709941221
TWO,Two Harbors Investment Corp,6.260000229,FALSE,2009,,12-Nov,26-Jan,7,7,4,4,12-Nov,26-Jan,3.481408229,10-Nov,9-Jan,8,3,8,3,9-Nov,8-Jan,3.283726259,9-Nov,24-Dec,8,3,8,3,10-Nov,25-Dec,4.283813984,10-Nov,10-Dec,7,4,7,4,10-Nov,10-Dec,3.647280004,6-Aug,21-Aug,7,4,7,4,6-Aug,21-Aug,1.890604343
TVPC,Twin Vee Powercats Inc,0.079999998,FALSE,2009,,2-Jan,17-Mar,7,7,4,4,2-Jan,17-Mar,19.76496145,2-Jan,2-Mar,6,5,6,5,2-Jan,2-Mar,18.45360908,14-Mar,28-Apr,5,6,5,6,14-Mar,28-Apr,19.14215832,22-Aug,21-Sep,5,6,5,6,22-Aug,21-Sep,16.07361323,13-Apr,28-Apr,3,8,3,8,13-Apr,28-Apr,14.64646393
TWIN,Twin Disc Inc,5.679999828,FALSE,2009,,24-Oct,7-Jan,4,4,7,7,24-Oct,7-Jan,4.790591667,22-Jun,21-Aug,5,6,5,6,22-Jun,21-Aug,3.709477793,24-Jun,8-Aug,5,6,5,6,24-Jun,8-Aug,5.002628435,1-Nov,1-Dec,6,5,6,5,1-Nov,1-Dec,7.901931013,26-Oct,10-Nov,6,5,6,5,26-Oct,10-Nov,4.334157357
