symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
MYGN,Myriad Genetics Inc,16.67000008,FALSE,2009,,15-Aug,29-Oct,5,5,6,6,15-Aug,29-Oct,6.579565428,14-Aug,13-Oct,5,6,5,6,14-Aug,13-Oct,5.181877027,14-Feb,30-Mar,3,8,3,8,14-Feb,30-Mar,1.228840352,20-Aug,19-Sep,6,5,6,5,20-Aug,19-Sep,6.797786176,5-Sep,20-Sep,4,7,4,7,5-Sep,20-Sep,3.662009795
MYRX,Myrexis Inc,0.039999999,FALSE,2009,,9-Dec,22-Feb,5,4,6,7,21-Nov,4-Feb,13.82498797,13-Dec,11-Feb,6,5,5,6,30-Nov,29-Jan,17.24526936,19-Dec,2-Feb,5,6,5,6,22-Nov,6-Jan,13.9996182,5-Apr,5-May,4,7,4,7,5-Apr,5-May,11.92618509,5-Apr,20-Apr,3,8,3,8,5-Apr,20-Apr,9.066576976
MYRG,MYR Group Inc,49.08000183,FALSE,2009,,10-May,24-Jul,6,6,5,5,10-May,24-Jul,3.530933754,15-Jan,15-Mar,6,5,6,5,15-Jan,15-Mar,6.004499495,23-Sep,7-Nov,5,6,5,6,23-Sep,7-Nov,5.444745959,23-Jun,23-Jul,6,5,6,5,23-Jun,23-Jul,4.035097598,8-Feb,23-Feb,2,9,2,9,8-Feb,23-Feb,3.870330299
MYOS,Myos Rens Technology Inc,12.11999989,FALSE,2010,,4-May,18-Jul,2,2,8,8,4-May,18-Jul,9.182802388,7-May,6-Jul,5,5,5,5,7-May,6-Jul,18.10574306,9-Dec,23-Jan,4,6,4,6,9-Dec,23-Jan,15.12622657,24-Jul,23-Aug,3,7,3,7,24-Jul,23-Aug,10.63966903,18-Mar,2-Apr,5,5,5,5,18-Mar,2-Apr,5.982491908
MYMX,Mymetics Corp,0.052000001,FALSE,2009,,3-Feb,18-Apr,5,5,6,6,3-Feb,18-Apr,8.738600194,3-Feb,3-Apr,7,4,7,4,3-Feb,3-Apr,14.10862475,19-Jan,4-Mar,4,7,4,7,19-Jan,4-Mar,3.89817808,1-Mar,31-Mar,5,6,5,6,1-Mar,31-Mar,16.16021647,21-Sep,6-Oct,6,5,6,5,21-Sep,6-Oct,9.545855247
MYE,Myers Industries Inc,17.15999985,FALSE,2009,,23-Mar,6-Jun,5,5,6,6,23-Mar,6-Jun,10.18885718,18-Mar,17-May,7,4,7,4,15-Mar,14-May,11.3524313,28-Mar,12-May,2,9,2,9,28-Mar,12-May,10.14743578,26-Mar,25-Apr,5,6,5,6,26-Mar,25-Apr,8.454106399,12-Nov,27-Nov,4,7,4,7,12-Nov,27-Nov,2.384557422
MVC,MVC Capital Inc,8,FALSE,2009,,7-Nov,21-Jan,6,6,5,5,30-Sep,14-Dec,4.37727375,3-Oct,2-Dec,7,4,7,4,3-Oct,2-Dec,4.542549883,30-Sep,14-Nov,5,6,5,6,30-Sep,14-Nov,3.259879435,28-Mar,27-Apr,6,5,6,5,14-Dec,13-Jan,1.876283202,11-Oct,26-Oct,9,2,9,2,3-Oct,18-Oct,2.704648915
MVO,MV Oil Trust,2.670000076,FALSE,2009,,22-Dec,7-Mar,7,7,4,4,25-Jan,9-Apr,2.538266724,15-Feb,15-Apr,8,3,5,6,14-Feb,14-Apr,4.080858064,15-Mar,29-Apr,6,5,5,6,15-Mar,29-Apr,3.963397013,28-Mar,27-Apr,7,4,7,4,14-Dec,13-Jan,8.888791889,1-Apr,16-Apr,10,1,10,1,30-Mar,14-Apr,6.02954758
MUTM,Mutual Merchant Services Inc,0.0115,FALSE,2009,,5-Jun,19-Aug,2,2,8,8,5-Jun,19-Aug,25.90378664,5-Aug,4-Oct,2,8,2,8,5-Aug,4-Oct,24.78313299,6-Sep,21-Oct,1,9,1,9,6-Sep,21-Oct,-44.08661359,12-Sep,12-Oct,1,9,1,9,12-Sep,12-Oct,-29.03283637,3-Aug,18-Aug,1,8,1,8,3-Aug,18-Aug,15.50843283
MFDB,Mutual Federal Bancorp Inc,2.400000095,FALSE,2009,,26-Dec,11-Mar,8,8,3,3,26-Dec,11-Mar,9.422029654,1-May,30-Jun,7,4,7,4,1-May,30-Jun,11.71192622,27-Apr,11-Jun,6,5,6,5,22-Jan,7-Mar,8.136689133,28-Jan,27-Feb,3,8,3,8,19-May,18-Jun,10.91101283,28-Jan,12-Feb,6,5,6,5,28-Jan,12-Feb,8.460933909
