,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,SYX,Systemax Inc,29.96500015,FALSE,2009,,2-Oct,16-Dec,5,5,6,6,2-Oct,16-Dec,9.762290498,20-Aug,19-Oct,5,6,5,6,20-Aug,19-Oct,2.424976207,1-Sep,16-Oct,5,6,5,6,1-Sep,16-Oct,2.460526824,8-Mar,7-Apr,3,8,3,8,8-Mar,7-Apr,11.80126735,29-Sep,14-Oct,3,8,3,8,29-Sep,14-Oct,4.028633326
1,SSMXF,Sysmex Corp,86.05000305,FALSE,2009,,18-Jan,2-Apr,10,10,1,1,18-Jan,2-Apr,9.428870775,5-Sep,4-Nov,7,4,7,4,9-May,8-Jul,7.637496514,16-Mar,30-Apr,7,4,7,4,15-Feb,31-Mar,9.748385866,6-Sep,6-Oct,8,3,8,3,7-May,6-Jun,6.841435582,16-Sep,1-Oct,6,5,6,5,23-Jun,8-Jul,1.502452083
2,SYY,Sysco Corp,71.625,FALSE,2009,,1-Oct,15-Dec,6,6,5,5,1-Oct,15-Dec,7.71328266,24-Mar,23-May,4,7,4,7,15-Oct,14-Dec,6.315999846,3-Nov,18-Dec,4,7,2,9,3-Nov,18-Dec,5.675121721,6-Nov,6-Dec,6,5,5,6,6-Nov,6-Dec,4.934117084,26-Aug,10-Sep,8,3,7,4,26-Aug,10-Sep,1.541093532
3,SYPR,Sypris Solutions Inc,1.429999948,FALSE,2009,,21-May,4-Aug,5,5,6,6,21-May,4-Aug,10.72273921,15-Apr,14-Jun,3,8,3,8,15-Apr,14-Jun,13.8688469,21-May,5-Jul,7,4,7,4,21-May,5-Jul,11.14464758,21-May,20-Jun,9,2,9,2,20-May,19-Jun,7.873485253,22-May,6-Jun,7,4,7,4,22-May,6-Jun,6.573036253
4,SYN,Synthetic Biologics Inc,0.349999994,FALSE,2009,,30-Dec,15-Mar,6,6,5,5,30-Dec,15-Mar,9.138273296,31-Jan,31-Mar,5,6,5,6,31-Jan,31-Mar,6.093083493,10-Dec,24-Jan,8,3,8,3,10-Dec,24-Jan,13.95872729,13-Dec,12-Jan,9,2,9,2,13-Dec,12-Jan,14.45776447,5-Mar,20-Mar,8,3,8,3,5-Mar,20-Mar,4.057323487
5,SYNE,Synthesis Energy Systems Inc,0.291000009,FALSE,2009,,23-Jan,7-Apr,4,4,7,7,23-Jan,7-Apr,-5.737953402,16-Mar,15-May,4,7,4,7,16-Mar,15-May,5.20331052,14-Mar,28-Apr,4,7,4,7,14-Mar,28-Apr,11.12075666,22-Mar,21-Apr,5,6,5,6,22-Mar,21-Apr,12.04082934,22-Mar,6-Apr,4,7,4,7,22-Mar,6-Apr,9.394374479
6,SNV,Synovus Financial Corp,30.62000084,FALSE,2009,,30-Oct,13-Jan,7,7,4,4,31-Oct,14-Jan,8.014394847,4-Nov,3-Jan,7,4,7,4,4-Nov,3-Jan,6.239347724,13-Nov,28-Dec,8,3,8,3,4-Nov,19-Dec,4.330655736,14-Dec,13-Jan,7,4,7,4,14-Dec,13-Jan,5.049818284,3-Feb,18-Feb,6,5,6,5,3-Feb,18-Feb,3.103330304
7,SNPS,Synopsys Inc,220.0899963,FALSE,2009,,22-Jun,5-Sep,9,9,2,2,22-Jun,5-Sep,8.165356282,6-Jul,4-Sep,7,4,7,4,6-Jul,4-Sep,6.519495993,28-Jul,11-Sep,8,3,8,3,28-Jul,11-Sep,6.156694388,29-Jul,28-Aug,6,5,6,5,29-Jul,28-Aug,5.017249901,8-Feb,23-Feb,6,5,6,5,8-Feb,23-Feb,3.599659098
8,SNX,Synnex Corp,150.3150024,FALSE,2009,,21-Oct,4-Jan,5,5,6,6,21-Oct,4-Jan,8.027524592,30-Oct,29-Dec,7,4,7,4,30-Oct,29-Dec,8.804200824,13-Nov,28-Dec,5,6,5,6,13-Nov,28-Dec,5.550619952,31-Oct,30-Nov,5,6,5,6,31-Oct,30-Nov,4.875075027,8-Feb,23-Feb,6,5,6,5,8-Feb,23-Feb,3.709321145
9,SYCRF,Syncora Holdings Ltd,0.280400008,FALSE,2009,,19-Dec,4-Mar,8,7,3,4,12-Jul,25-Sep,5.58512055,2-Jan,2-Mar,7,4,6,5,22-Nov,21-Jan,12.21101306,1-Jul,15-Aug,7,4,6,5,27-Jun,11-Aug,11.61974774,12-Jul,11-Aug,7,4,7,4,12-Jul,11-Aug,10.05554774,15-Jan,30-Jan,6,5,6,5,9-Jul,24-Jul,9.596185974
