,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,CCGGY,C&C Group PLC,7.09100008,FALSE,2009,,9-Nov,23-Jan,5,6,5,6,9-Nov,23-Jan,4.788023502,24-Nov,23-Jan,8,3,8,3,24-Nov,23-Jan,4.254043803,24-Oct,8-Dec,7,4,7,4,4-Dec,18-Jan,3.898115643,19-Dec,18-Jan,6,5,6,5,19-Dec,18-Jan,5.217166221,23-Dec,7-Jan,8,3,8,3,23-Dec,7-Jan,3.545567234
1,CGPZF,C&C Group PLC,2.049999952,FALSE,2010,,3-Nov,17-Jan,7,3,7,3,6-Nov,20-Jan,4.16622641,8-Jul,6-Sep,6,4,6,4,8-Jul,6-Sep,3.165744159,20-Jul,3-Sep,4,6,4,6,20-Jul,3-Sep,3.308137899,18-Jul,17-Aug,3,7,3,7,18-Jul,17-Aug,1.542946993,16-Sep,1-Oct,3,7,3,7,16-Sep,1-Oct,8.475319798
2,CFFI,C&F Financial Corp,34.65000153,FALSE,2009,,19-May,2-Aug,5,6,4,7,31-Oct,14-Jan,5.41360652,13-May,12-Jul,5,6,5,6,8-May,7-Jul,8.65451487,9-May,23-Jun,3,8,3,8,23-May,7-Jul,7.434569518,6-May,5-Jun,4,7,4,7,6-May,5-Jun,5.621644649,24-Jun,9-Jul,5,6,5,6,24-Jun,9-Jul,5.051486321
3,CYSNF,C-Com Satellite Systems Inc,2.041330099,FALSE,2009,,21-Dec,6-Mar,7,3,7,3,21-Dec,6-Mar,4.445666812,26-Dec,24-Feb,7,3,7,3,26-Dec,24-Feb,3.547754017,1-Jun,16-Jul,6,4,6,4,1-Jun,16-Jul,5.454485197,25-Feb,26-Mar,5,5,5,5,25-Feb,26-Mar,3.034074611,29-Dec,13-Jan,5,5,5,5,29-Dec,13-Jan,3.942502302
4,CHRW,C.H. Robinson Worldwide Inc,91.97000122,FALSE,2009,,10-Aug,24-Oct,4,7,3,8,13-Aug,27-Oct,5.136332013,25-Aug,24-Oct,4,7,4,7,26-Aug,25-Oct,4.237568155,6-Aug,20-Sep,4,7,4,7,6-Aug,20-Sep,4.352647168,22-Aug,21-Sep,5,6,5,6,23-Jun,23-Jul,3.684612029,5-Sep,20-Sep,6,5,6,5,5-Sep,20-Sep,2.305885204
5,CPKPF,C.P. Pokphand Co Ltd,0.100000001,FALSE,2010,,2-Oct,16-Dec,2,8,2,8,18-Mar,1-Jun,6.948134385,1-Oct,30-Nov,3,7,3,7,22-Apr,21-Jun,4.267676471,6-Oct,20-Nov,3,7,3,7,27-Apr,11-Jun,6.158437378,6-Oct,5-Nov,3,7,3,7,27-Nov,27-Dec,6.670373785,4-Oct,19-Oct,1,9,1,9,1-Dec,16-Dec,5.086352056
6,CPKPY,C.P. Pokphand Co Ltd,2.220000029,FALSE,2009,,7-Apr,21-Jun,4,7,4,7,15-Mar,29-May,9.930932073,6-Apr,5-Jun,3,8,3,8,6-Apr,5-Jun,9.710569791,28-Sep,12-Nov,5,6,5,6,15-Mar,29-Apr,7.554092958,6-Apr,6-May,4,7,4,7,6-Apr,6-May,8.620864818,30-Sep,15-Oct,5,6,5,6,14-May,29-May,4.040893201
7,CBT,Cabot Corp,40.97000122,FALSE,2009,,15-Oct,29-Dec,8,3,8,3,15-Oct,29-Dec,5.534458521,11-Oct,10-Dec,9,2,9,2,11-Oct,10-Dec,4.752368575,7-Aug,21-Sep,7,4,7,4,7-Aug,21-Sep,5.002322915,28-Mar,27-Apr,7,4,7,4,28-Mar,27-Apr,6.767184389,13-Apr,28-Apr,7,4,7,4,13-Apr,28-Apr,3.842378812
8,COG,Cabot Oil & Gas Corp,17.62000084,FALSE,2009,,27-Feb,12-May,4,7,4,7,27-Feb,12-May,10.69400337,3-Mar,2-May,5,6,5,6,3-Mar,2-May,9.772931723,1-Apr,16-May,5,6,5,6,1-Apr,16-May,5.475815889,1-Apr,1-May,6,5,6,5,1-Apr,1-May,7.146682146,14-Dec,29-Dec,4,7,4,7,14-Dec,29-Dec,4.448321162
9,^FCHI,CAC 40,5380.160156,FALSE,2009,,25-Sep,9-Dec,6,5,6,5,25-Sep,9-Dec,2.917021887,4-Oct,3-Dec,6,5,6,5,4-Oct,3-Dec,3.375892684,13-Mar,27-Apr,6,5,6,5,13-Mar,27-Apr,2.910087627,29-Mar,28-Apr,6,5,6,5,29-Mar,28-Apr,2.590055609,7-Feb,22-Feb,7,4,7,4,7-Feb,22-Feb,1.586130722
