,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,GZIC,GZ6G Technologies Corp,0.131999999,False,2009.0,,24-Oct,7-Jan,5.0,5.0,6.0,6.0,24-Oct,7-Jan,9.879635934,28-Feb,28-Apr,4.0,7.0,4.0,7.0,28-Feb,28-Apr,12.05060335,27-Oct,11-Dec,6.0,5.0,6.0,5.0,27-Oct,11-Dec,16.35265046,28-Oct,27-Nov,5.0,6.0,5.0,6.0,28-Oct,27-Nov,21.68683065,24-Oct,8-Nov,5.0,6.0,5.0,6.0,24-Oct,8-Nov,23.79788916
1,GYRO,Gyrodyne LLC,16.62000084,False,2009.0,,10-Jul,23-Sep,5.0,5.0,6.0,6.0,23-Jun,6-Sep,3.305968071,12-Jul,10-Sep,5.0,6.0,5.0,6.0,12-Jul,10-Sep,1.452894336,3-Feb,19-Mar,4.0,7.0,4.0,7.0,3-Feb,19-Mar,3.494608796,3-Feb,4-Mar,5.0,6.0,5.0,6.0,3-Feb,4-Mar,2.21692884,10-Feb,25-Feb,6.0,5.0,6.0,5.0,10-Feb,25-Feb,2.4486039319999997
2,GWPRF,GW Pharmaceuticals PLC,9.710000037999999,False,2010.0,,5-Apr,19-Jun,6.0,6.0,4.0,4.0,5-Apr,19-Jun,13.83657046,2-Apr,1-Jun,6.0,4.0,6.0,4.0,2-Apr,1-Jun,13.04098852,31-Mar,15-May,7.0,3.0,7.0,3.0,31-Mar,15-May,10.66475494,31-Mar,30-Apr,8.0,2.0,8.0,2.0,31-Mar,30-Apr,13.55821352,5-Apr,20-Apr,7.0,3.0,7.0,3.0,5-Apr,20-Apr,7.855717866
3,GMVHF,GVC Holdings PLC,12.80000019,False,2009.0,,23-Mar,6-Jun,4.0,3.0,5.0,6.0,23-Mar,6-Jun,15.8410756,15-Mar,14-May,6.0,3.0,5.0,4.0,15-Mar,14-May,14.57268511,19-Mar,3-May,4.0,5.0,4.0,5.0,26-Jul,9-Sep,5.602182251,3-Apr,3-May,3.0,5.0,2.0,6.0,22-Mar,21-Apr,13.5786043,6-Apr,21-Apr,3.0,5.0,3.0,5.0,6-Apr,21-Apr,8.971429255
4,GUYFF,Guyana Goldfields Inc,1.399999976,False,2009.0,,11-Jun,25-Aug,4.0,4.0,7.0,7.0,11-Jun,25-Aug,7.67102985,25-Jun,24-Aug,4.0,7.0,4.0,7.0,25-Jun,24-Aug,10.94096018,1-Aug,15-Sep,7.0,4.0,7.0,4.0,1-Aug,15-Sep,11.15558057,14-Dec,13-Jan,6.0,5.0,6.0,5.0,14-Dec,13-Jan,12.8710451,21-Dec,5-Jan,7.0,4.0,7.0,4.0,21-Dec,5-Jan,8.833990676
5,GULRY,Guoco Group Ltd,23.92000008,False,2010.0,,1-Oct,15-Dec,7.0,3.0,3.0,7.0,8-Jul,21-Sep,1.913824936,4-Oct,3-Dec,6.0,4.0,5.0,5.0,14-Jul,12-Sep,2.631477109,19-Oct,3-Dec,3.0,7.0,3.0,7.0,8-Jul,22-Aug,1.855510082,2-Nov,2-Dec,3.0,7.0,3.0,7.0,8-Jul,7-Aug,3.046008455,11-Jul,26-Jul,3.0,7.0,3.0,7.0,11-Jul,26-Jul,1.852089474
6,GULRF,Guoco Group Ltd,16.63999939,False,2009.0,,24-Sep,8-Dec,7.0,5.0,4.0,6.0,20-Aug,3-Nov,5.791840089,4-Oct,3-Dec,5.0,6.0,5.0,6.0,24-Sep,23-Nov,6.786118172,18-Oct,2-Dec,3.0,8.0,3.0,8.0,30-Sep,14-Nov,5.611941111,2-Nov,2-Dec,4.0,7.0,4.0,7.0,4-Oct,3-Nov,3.6867578,5-Mar,20-Mar,4.0,7.0,4.0,7.0,18-Oct,2-Nov,2.19611695
7,CJIMF,Gunpoint Exploration Ltd,0.600000024,False,2010.0,,26-Dec,11-Mar,4.0,4.0,6.0,6.0,26-Dec,11-Mar,3.864907488,27-Dec,25-Feb,4.0,6.0,4.0,6.0,27-Dec,25-Feb,8.230190469,13-Jun,28-Jul,3.0,7.0,3.0,7.0,13-Jun,28-Jul,5.770129175,5-Apr,5-May,3.0,7.0,3.0,7.0,5-Apr,5-May,5.596302465,5-Apr,20-Apr,2.0,8.0,2.0,8.0,5-Apr,20-Apr,5.892955101
8,ASWRF,Gungnir Resources Inc,0.062899999,False,2009.0,,30-Jul,13-Oct,6.0,6.0,5.0,5.0,30-Jul,13-Oct,10.11623367,15-Aug,14-Oct,3.0,8.0,3.0,8.0,15-Aug,14-Oct,2.390039098,12-May,26-Jun,4.0,7.0,4.0,7.0,12-May,26-Jun,10.39581173,20-Aug,19-Sep,3.0,8.0,3.0,8.0,20-Aug,19-Sep,0.206137966,26-Mar,10-Apr,6.0,5.0,6.0,5.0,26-Mar,10-Apr,3.092600427
9,GPOR,Gulfport Energy Corp,0.173099995,False,2009.0,,18-Feb,3-May,8.0,8.0,3.0,3.0,18-Feb,3-May,4.702179665,19-Aug,18-Oct,5.0,6.0,5.0,6.0,19-Aug,18-Oct,-4.312354632,5-Aug,19-Sep,6.0,5.0,6.0,5.0,5-Aug,19-Sep,11.68338199,20-Aug,19-Sep,5.0,6.0,5.0,6.0,20-Aug,19-Sep,7.519308787999999,19-Aug,3-Sep,4.0,7.0,4.0,7.0,19-Aug,3-Sep,5.574678492
