,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,FYFFF,Fyffes PLC,$2.33 ,TRUE,,'Date',,,,,,,,,
1,FXEN,FX Energy Inc,$1.15 ,TRUE,,'Date',,,,,,,,,
2,FVCB,FVCBankcorp Inc,12.76000023,TRUE,2015,,,,,,,,,,
3,FVPI,FV Pharma International Corp,65,TRUE,2014,,,,,,,,,,
4,FYGGY,Fuyao Glass Industry Group Co Ltd,$0.63 ,TRUE,,No data fetched for symbol FYGGY using YahooDailyReader,,,,,,,,,
5,FFHL,Fuwei Films (Holdings) Co Ltd,5.420000076,FALSE,2009,,12-Nov,26-Jan,6,6,5,5,12-Nov,26-Jan,8.279198137
6,FTRS,Futuris Co,0.379900008,TRUE,2020,,,,,,,,,,
7,THIXY,Futuren SA,$1.63 ,TRUE,,No data fetched for symbol THIXY using YahooDailyReader,,,,,,,,,
8,FF,FutureFuel Corp,11.96500015,TRUE,2011,,,,,,,,,,
9,FUTS,Future Science Holdings Inc,0.0095,TRUE,2012,,,,,,,,,,
10,FRNWF,Future PLC,25.99559975,TRUE,2014,,,,,,,,,,
11,FIGM,Future International Group Corp,5,TRUE,2018,,,,,,,,,,
12,FTFT,Future FinTech Group Inc,2.130000114,FALSE,2009,,22-Nov,5-Feb,6,6,5,5,22-Nov,5-Feb,11.67096888
13,FFRMF,Future Farm Technologies Inc,0.022,FALSE,2009,,13-Dec,26-Feb,4,4,7,7,13-Dec,26-Feb,13.14226487
14,FTRHF,Future Bright Holdings Ltd,0.02,TRUE,2014,,,,,,,,,,
15,FAMDF,Futura Medical PLC,0.150000006,TRUE,2012,,,,,,,,,,
16,FUTU,Futu Holdings Ltd,43,TRUE,2019,,,,,,,,,,
17,FBILF,Futaba Industrial Co Ltd,$3.87 ,TRUE,,No data fetched for symbol FBILF using YahooDailyReader,,,,,,,,,
18,FUBAF,Futaba Corp,8.895000458,TRUE,2013,,,,,,,,,,
19,FUSXF,Fusionex International PLC,$8.15 ,TRUE,,No data fetched for symbol FUSXF using YahooDailyReader,,,,,,,,,
20,FUSN,Fusion Pharmaceuticals Inc,12.625,TRUE,2020,,,,,,,,,,
21,FUIG,Fusion Interactive Corp,0.011,TRUE,2013,,,,,,,,,,
22,FSNNQ,Fusion Connect Inc,$0.01 ,TRUE,,No data fetched for symbol FSNNQ using YahooDailyReader,,,,,,,,,
23,FUSE,Fusion Acquisition Corp,9.840100288,TRUE,2020,,,,,,,,,,
24,DROP,Fuse Science Inc,0.0098,TRUE,2012,,,,,,,,,,
25,FZMD,Fuse Medical Inc,0.100000001,FALSE,2009,,22-Nov,5-Feb,7,7,4,4,22-Nov,5-Feb,29.28830592
26,FUST,Fuse Group Holding Inc,0.119999997,TRUE,2017,,,,,,,,,,
27,FUSEF,Fuse Cobalt Inc,0.02238,FALSE,2010,,8-Dec,21-Feb,6,6,4,4,8-Dec,21-Feb,-1.520725314
28,FURY,Fury Gold Mines Ltd,1.389999986,TRUE,2014,,,,,,,,,,
29,FUSAF,Furusato Industries Ltd,$10.50 ,TRUE,,No data fetched for symbol FUSAF using YahooDailyReader,,,,,,,,,
30,FUWAY,Furukawa Electric Co Ltd,11.84000015,TRUE,2012,,,,,,,,,,
31,FUWAF,Furukawa Electric Co Ltd,25,FALSE,2009,,21-Oct,4-Jan,2,3,9,8,10-Apr,24-Jun,4.05786795
32,FRM,Furmanite Corp,0.035,TRUE,2017,,,,,,,,,,
33,FUGMF,Fura Gems Inc,0.108099997,TRUE,2012,,,,,,,,,,
34,FQFC,Fuquan Financial Co,0.006,FALSE,2009,,31-Dec,16-Mar,7,7,4,4,31-Dec,16-Mar,29.37941226
35,FQCC,Fuquan Capital Management Inc,0.050000001,TRUE,2014,,,,,,,,,,
36,FNKO,Funko Inc,8.819999695,TRUE,2017,,,,,,,,,,
37,FDCHF,Funding Circle Holdings PLC,1,TRUE,2018,,,,,,,,,,
