,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
0,CCLHF,C C Land Holdings Ltd,0.354999989,TRUE,2018,,,,,
1,CMRDF,C Mer Industries Ltd,$5.20 ,TRUE,,No data fetched for symbol CMRDF using YahooDailyReader,,,,
2,CCGGY,C&C Group PLC,7.09100008,FALSE,2009,,9-Nov,23-Jan,5,7
3,CGPZF,C&C Group PLC,2.049999952,FALSE,2010,,3-Nov,17-Jan,7,4
4,CFFI,C&F Financial Corp,34.65000153,FALSE,2009,,19-May,2-Aug,5,7
5,CJ,C&J Energy Services Inc,$7.36 ,TRUE,,No data fetched for symbol CJ using YahooDailyReader,,,,
6,CBNT,C-Bond Systems Inc,0.01505,TRUE,2018,,,,,
7,CYSNF,C-Com Satellite Systems Inc,2.041330099,FALSE,2009,,21-Dec,6-Mar,9,3
8,CUBG,C-Cube Genetics Inc,3,TRUE,2012,,,,,
9,CTAIF,C. P. Lotus Corp,$0.01 ,TRUE,,No data fetched for symbol CTAIF using YahooDailyReader,,,,
10,CUYRF,C. Uyemura & Co Ltd,$60.50 ,TRUE,,No data fetched for symbol CUYRF using YahooDailyReader,,,,
11,CHRW,C.H. Robinson Worldwide Inc,91.97000122,FALSE,2009,,10-Aug,24-Oct,4,8
12,CPKPF,C.P. Pokphand Co Ltd,0.100000001,FALSE,2010,,2-Oct,16-Dec,2,9
13,CPKPY,C.P. Pokphand Co Ltd,2.220000029,FALSE,2009,,7-Apr,21-Jun,4,8
14,BNK,C1 Financial Inc,802.8900146,TRUE,2019,,,,,
15,CXXIF,C21 Investments Inc,0.712599993,TRUE,2012,,,,,
16,CARCF,C3 Metals Inc,0.05006,TRUE,2016,,,,,
17,CCCC,C4 Therapeutics Inc,25.82999992,TRUE,2020,,,,,
18,CAIAF,CA Immobilien Anlagen AG,28.92029953,TRUE,2019,,,,,
19,CAIAF,CA Immobilien Anlagen AG,28.92029953,TRUE,2019,,,,,
20,CA,CA Inc,65.5,TRUE,2012,,,,,
21,CABF,CAB Financial Corp,$16.83 ,TRUE,,No data fetched for symbol CABF using YahooDailyReader,,,,
22,CABA,Cabaletta Bio Inc,14.01000023,TRUE,2019,,,,,
23,CAB,Cabela?s Inc,63.09999847,TRUE,2019,,,,,
24,CWIXF,Cable & Wireless Communications PLC,$1.10 ,TRUE,,No data fetched for symbol CWIXF using YahooDailyReader,,,,
25,CABO,Cable One Inc,1983.469971,TRUE,2015,,,,,
26,CVHSY,Cablevision Holding SA,2.410000086,TRUE,2017,,,,,
27,CVC,Cablevision Systems Corp,$34.87 ,TRUE,,'Date',,,,
28,CBT,Cabot Corp,40.97000122,FALSE,2009,,15-Oct,29-Dec,8,4
29,NNPTF,Cabot Energy PLC,$0.06 ,TRUE,,No data fetched for symbol NNPTF using YahooDailyReader,,,,
30,COG,Cabot Oil & Gas Corp,17.62000084,FALSE,2009,,27-Feb,12-May,4,8
31,CBGZF,Cabral Gold Inc,0.444799989,TRUE,2018,,,,,
32,^FCHI,CAC 40,5380.160156,FALSE,2009,,25-Sep,9-Dec,6,6
33,CEXPF,Cache Exploration Inc,0.157120004,FALSE,2010,,7-Mar,21-May,3,8
34,CACI,CACI International Inc,236.8200073,FALSE,2009,,11-Dec,24-Feb,8,4
35,WHD,Cactus Inc,23.20999908,TRUE,2018,,,,,
36,CADAF,Cadan Resources Corp,$0.03 ,TRUE,,No data fetched for symbol CADAF using YahooDailyReader,,,,
37,CADE,Cadence Bancorp,14,TRUE,2017,,,,,
38,CDNS,Cadence Design Systems Inc,115.8199997,FALSE,2009,,18-Mar,1-Jun,8,4
39,RARMF,Cadence Minerals PLC,0.109999999,TRUE,2014,,,,,
40,KDNCY,Cadence Minerals PLC,0.949999988,TRUE,2016,,,,,
41,CADIF,Cadillac Ventures Inc,0.0151,TRUE,2013,,,,,
42,CDZI,Cadiz Inc,9.949999809,FALSE,2009,,20-Oct,3-Jan,4,8
43,KDUS,Cadus Corp,1.600000024,TRUE,2012,,,,,
44,CAE,CAE Inc,22.64999962,FALSE,2009,,24-Aug,7-Nov,7,5
45,CACQ,Caesars Acquisition Co,$21.25 ,TRUE,,'Date',,,,
46,CZR,Caesars Entertainment Inc,61.38000107,TRUE,2014,,,,,
47,CSTE,Caesarstone Ltd,11.59000015,TRUE,2012,,,,,
48,CFCGF,Cafe de Coral Holdings Ltd,2.019999981,TRUE,2012,,,,,
49,COFE,Cafe Holdings Inc,0.050000001,TRUE,2017,,,,,
50,PRSS,CafePress Inc,1.470000029,TRUE,2012,,,,,
51,CAI,CAI International Inc,29.87999916,FALSE,2009,,6-Sep,20-Nov,8,4
52,CRNCY,Cairn Energy PLC,3.776599884,FALSE,2009,,22-Nov,5-Feb,4,8
53,CRNZF,Cairn Energy PLC,1.850000024,FALSE,2009,,29-Jan,13-Apr,6,6
54,CRRNF,Cairn Homes PLC,$1.43 ,TRUE,,No data fetched for symbol CRRNF using YahooDailyReader,,,,
55,CMZZF,Cairo Mezz PLC,0.100000001,TRUE,2020,,,,,
56,CAMYF,Caisse Regionale de Credit Agricole Mutuel de Pari,$91.50 ,TRUE,,No data fetched for symbol CAMYF using YahooDailyReader,,,,
57,CRDMF,Caisse Regionale du Credit Agricole Mutuel du Lang,$65.01 ,TRUE,,No data fetched for symbol CRDMF using YahooDailyReader,,,,
58,CAIXY,CaixaBank SA,0.825999975,TRUE,2013,,,,,
59,CIXPF,CaixaBank SA,1.861799955,TRUE,2012,,,,,
60,CALM,Cal-Maine Foods Inc,40.20000076,FALSE,2009,,8-Feb,23-Apr,6,6
61,CLBS,Caladrius Biosciences Inc,1.519999981,FALSE,2009,,27-Dec,12-Mar,9,3
62,CLMS,Calamos Asset Management Inc,$8.28 ,TRUE,,'Date',,,,
63,CHY,Calamos Convertible & High Income Fund,12.67000008,FALSE,2009,,12-Dec,25-Feb,9,3
64,CHI,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,11.94999981,FALSE,2009,,17-Feb,2-May,9,3
65,CCD,Calamos Dynamic Convertible and Income Fund,25.97999954,TRUE,2015,,,,,
66,CHW,Calamos Global Dynamic Income Fund,8.819999695,FALSE,2009,,10-Dec,23-Feb,8,4
67,CGO,Calamos Global Total Return Fund,13.07999992,FALSE,2009,,12-Dec,25-Feb,8,4
68,CSQ,Calamos Strategic Total Return Fund,14.35999966,FALSE,2009,,11-Dec,24-Feb,8,4
