,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,LYSGF,Lysogene SA,2.410000086,TRUE,2020,,,,,,,,,,
1,LYRA,Lyra Therapeutics Inc,10.89999962,TRUE,2020,,,,,,,,,,
2,LYBC,Lyons Bancorp Inc,35,FALSE,2009,,28-Dec,13-Mar,8,8,3,3,28-Dec,13-Mar,11.204372
3,LYB,LyondellBasell Industries NV,82.19999695,FALSE,2010,,24-Aug,7-Nov,8,8,2,2,4-Sep,18-Nov,5.338106983
4,LVLEF,Lynden Energy Corp,$0.34 ,TRUE,,No data fetched for symbol LVLEF using YahooDailyReader,,,,,,,,,
5,LYSDY,Lynas Corp Ltd,2.539999962,FALSE,2010,,18-Dec,3-Mar,4,4,6,6,18-Dec,3-Mar,10.96128791
6,LYSCF,Lynas Corp Ltd,2.513000011,FALSE,2009,,17-May,31-Jul,4,4,7,7,17-May,31-Jul,9.444756442
7,LYFT,Lyft Inc,39.77000046,TRUE,2019,,,,,,,,,,
8,LYDIF,Lydian International Ltd,0.015,TRUE,2013,,,,,,,,,,
9,LDL,Lydall Inc,24.12999916,FALSE,2009,,19-May,2-Aug,4,4,7,7,19-May,2-Aug,7.312668046
10,LYOPF,Lycopodium Ltd,$0.92 ,TRUE,,No data fetched for symbol LYOPF using YahooDailyReader,,,,,,,,,
11,GGBBF,LXRandCo Inc,0.161699995,TRUE,2018,,,,,,,,,,
12,LXWKF,LWP Capital Inc,$0.02 ,TRUE,,No data fetched for symbol LXWKF using YahooDailyReader,,,,,,,,,
13,LVMUY,LVMH Moet Hennessy Louis Vuitton SE,114.7699966,FALSE,2009,,26-May,9-Aug,7,7,4,4,26-May,9-Aug,5.028474271
14,LVMHF,LVMH Moet Hennessy Louis Vuitton SE,574.289978,FALSE,2010,,9-Apr,23-Jun,6,6,4,4,26-May,9-Aug,4.782284568
15,LZDLF,Luz Del Sur SAA,7.143320084,TRUE,2018,,,,,,,,,,
16,LUXGF,Luxottica Group SpA,$58.25 ,TRUE,,No data fetched for symbol LUXGF using YahooDailyReader,,,,,,,,,
17,LUXTY,Luxottica Group SpA,$55.80 ,TRUE,,No data fetched for symbol LUXTY using YahooDailyReader,,,,,,,,,
18,LXFT,Luxoft Holding Inc,$58.99 ,TRUE,,No data fetched for symbol LXFT using YahooDailyReader,,,,,,,,,
19,LXFR,Luxfer Holdings PLC,14.57999992,TRUE,2012,,,,,,,,,,
20,LXEEF,Luxempart SA,$41.50 ,TRUE,,No data fetched for symbol LXEEF using YahooDailyReader,,,,,,,,,
21,TSTEF,Luxe Holdings Ltd,0.205599993,TRUE,2017,,,,,,,,,,
