,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
0,AHC,A H Belo Corp,1.446400046,FALSE,2009,,,,,
1,AISSF,A I S Resources Ltd,0.048439998,TRUE,2016,,,,,
2,AVHI,A V Homes Inc,19.84000015,TRUE,2012,,,,,
3,AWRRF,A&W Revenue Royalties Income Fund,23.44000053,FALSE,2009,,,,,
4,APCDF,A-Cap Energy Ltd,0.015,TRUE,2012,,,,,
5,AMRK,A-Mark Precious Metals Inc,29.87000084,TRUE,2014,,,,,
6,ASNCF,A-Sonic Aerospace Ltd,0.209999993,TRUE,2012,,,,,
7,AMKAF,A. P. Moller Maersk A/S,1541.199951,FALSE,2009,,,,,
8,AMKBF,A. P. Moller Maersk A/S,1751,FALSE,2009,,,,,
9,AMKBY,A. P. Moller Maersk A/S,8.765000343,TRUE,2012,,,,,
10,SHLM,A. Schulman Inc,44,TRUE,2012,,,,,
11,OSTLY,A.C.N 004 410 833 Ltd,$0.30 ,TRUE,,No data fetched for symbol OSTLY using YahooDailyReader,,,,
12,CTAM,A.M. Castle & Co,0.819999993,TRUE,2018,,,,,
13,AOS,A.O. Smith Corp,53.84999847,FALSE,2009,,,,,
14,ASRAF,A.S. Roma SpA,0.330000013,TRUE,2013,,,,,
15,ATEN,A10 Networks Inc,7.485000134,TRUE,2014,,,,,
16,AEMMF,A2A SpA,1.049999952,FALSE,2010,,,,,
17,AEMMY,A2A SpA,6.789999962,TRUE,2013,,,,,
18,CBRGF,A2B Australia Ltd,$1.98 ,TRUE,,No data fetched for symbol CBRGF using YahooDailyReader,,,,
19,CGAAY,A2B Australia Ltd,1.370000005,TRUE,2012,,,,,
20,AAZZF,A2Z Smart Technologies Corp,0.474889994,TRUE,2020,,,,,
21,AATDF,AA PLC,0.400000006,TRUE,2015,,,,,
22,AAAG,AAA Century Group USA Inc,$0.42 ,TRUE,,No data fetched for symbol AAAG using YahooDailyReader,,,,
23,ACCMF,AAC Clyde Space AB,0.294999987,TRUE,2019,,,,,
24,AACH,AAC Holdings Inc,0.0265,TRUE,2014,,,,,
25,AACAF,AAC Technologies Holdings Inc,5.590000153,FALSE,2009,,,,,
26,AACAY,AAC Technologies Holdings Inc,5.590000153,TRUE,2011,,,,,
27,AAGEF,AAG Energy Holdings Ltd,0.167999998,TRUE,2018,,,,,
28,ARHUF,AAK AB,18.04000092,TRUE,2014,,,,,
29,AAIDY,Aalberts NV,$1.69 ,TRUE,,No data fetched for symbol AAIDY using YahooDailyReader,,,,
30,AALBF,Aalberts NV,40.54000092,TRUE,2013,,,,,
31,AAXT,Aamaxan Transport Group Inc,0.126000002,TRUE,2012,,,,,
32,AAON,AAON Inc,62.66999817,FALSE,2009,,,,,
33,AAPJ,AAP Inc,0.032000002,FALSE,2009,,,,,
34,AAHTF,Aapico Hitech PLC,$0.53 ,TRUE,,No data fetched for symbol AAHTF using YahooDailyReader,,,,
35,AIR,AAR Corp,23.05500031,FALSE,2009,,,,,
36,AAALF,Aareal Bank AG,20.7758007,FALSE,2009,,,,,
37,AAALY,Aareal Bank AG,19.29999924,TRUE,2013,,,,,
38,AAN,Aarons Holdings Co Inc,58,FALSE,2009,,,,,
39,ABTBF,AB Biotics,$1.75 ,TRUE,,No data fetched for symbol ABTBF using YahooDailyReader,,,,
40,ABDDF,AB Dynamics PLC,31.28000069,TRUE,2018,,,,,
41,ABSCF,AB Science,12.10999966,TRUE,2016,,,,,
42,ABTO,AB&T Financial Corp,0.379999995,FALSE,2009,,,,,
43,OXFSF,Abaco Capital PLC,$0.21 ,TRUE,,No data fetched for symbol OXFSF using YahooDailyReader,,,,
44,ABAHF,Abacus Health Products Inc,$4.84 ,TRUE,,No data fetched for symbol ABAHF using YahooDailyReader,,,,
45,ABCFF,Abacus Mining & Exploration Corp,0.125550002,FALSE,2009,,,,,
46,ABPPF,Abacus Property Group,$1.85 ,TRUE,,No data fetched for symbol ABPPF using YahooDailyReader,,,,
47,NCGOF,Abanca Corporacion Bancaria SA,$0.77 ,TRUE,,No data fetched for symbol NCGOF using YahooDailyReader,,,,
48,ATTBF,Abattis Bioceuticals Corp,0.00775,TRUE,2012,,,,,
49,ABAX,Abaxis Inc,83,TRUE,2012,,,,,
50,ABB,ABB Ltd,26.78499985,FALSE,2009,,,,,
51,ABLZF,ABB Ltd,27.25,FALSE,2010,,,,,
52,ABEYF,Abbey PLC,16.03140068,TRUE,2017,,,,,
53,ABT,Abbott Laboratories,111.5800018,FALSE,2009,,,,,
54,ABBV,AbbVie Inc,96.55220032,TRUE,2013,,,,,
55,ABBY,Abby Inc,0.007,TRUE,2012,,,,,
56,ABCR,ABC Records Management and Data Storage Inc,$0.65 ,TRUE,,'Date',,,,
57,AMKYF,ABC-Mart Inc,53.20000076,TRUE,2017,,,,,
58,ABCZF,Abcam PLC,19.04000092,TRUE,2019,,,,,
59,ABCM,Abcam PLC,18.69000053,TRUE,2020,,,,,
60,ABMBF,Abcourt Mines Inc,0.122500002,FALSE,2009,,,,,
61,ABNAF,Aben Resources Ltd,0.045650002,FALSE,2009,,,,,
62,ABGBY,Abengoa SA,$1.06 ,TRUE,,'Date',,,,
63,ABGOF,Abengoa SA,0.02,FALSE,2010,,,,,
64,ABGOY,Abengoa SA,0.02,TRUE,2012,,,,,
65,AGOAF,Abengoa SA,0.029999999,TRUE,2013,,,,,
66,ABEO,Abeona Therapeutics Inc,1.205000043,FALSE,2009,,,,,
67,ANF,Abercrombie & Fitch Co,17.55500031,FALSE,2009,,,,,
68,FAX,Aberdeen Asia-pacific Income Fund Inc,4.005000114,FALSE,2009,,,,,
69,ABDNF,Aberdeen Asset Management PLC,$4.35 ,TRUE,,'Date',,,,
70,ABDNY,Aberdeen Asset Management PLC,$8.31 ,TRUE,,'Date',,,,
71,IAF,Aberdeen Australia Equity Fund Inc,4.929999828,FALSE,2009,,,,,
72,AEF,"ABERDEEN EMERGING MARKETS EQUITY INCOME FUND, INC.",7.210000038,FALSE,2009,,,,,
73,AGD,Aberdeen Global Dynamic Dividend Fund,9.470000267,FALSE,2009,,,,,
74,FCO,Aberdeen Global Income Fund Inc,7.408299923,FALSE,2009,,,,,
75,AWP,Aberdeen Global Premier Properties Fund,4.950099945,FALSE,2009,,,,,
76,AABVF,Aberdeen International Inc,0.029999999,FALSE,2010,,,,,
77,JEQ,Aberdeen Japan Equity Fund Inc,8.81000042,FALSE,2009,,,,,
78,AOD,Aberdeen Total Dynamic Dividend Fund,8.125,FALSE,2009,,,,,
79,ABFOF,Abertis Infraestructuras SA,21.53709984,TRUE,2012,,,,,
80,ABRTY,Abertis Infraestructuras SA,$0.04 ,TRUE,,No data fetched for symbol ABRTY using YahooDailyReader,,,,
81,ABGSF,ABG Sundal Collier Holding ASA,0.569999993,FALSE,2009,,,,,
82,ABILF,Ability Inc,0.200000003,TRUE,2014,,,,,
83,ABMD,Abiomed Inc,268.1400146,FALSE,2009,,,,,
84,THRPF,Abionyx Pharma,$0.23 ,TRUE,,No data fetched for symbol THRPF using YahooDailyReader,,,,
85,ATBYF,Abitibi Royalties Inc,20.38998032,TRUE,2011,,,,,
86,AAVXF,Abivax SA,22.5,TRUE,2016,,,,,
87,NEVPF,Abliva AB,0.104999997,TRUE,2014,,,,,
88,ABLX,Ablynx NV,52.86999893,TRUE,2017,,,,,
89,ABLYF,Ablynx NV,$50.63 ,TRUE,,No data fetched for symbol ABLYF using YahooDailyReader,,,,
90,ABM,ABM Industries Inc,37.47999954,FALSE,2009,,,,,
91,ABNRY,ABN AMRO Bank NV,$10.46 ,TRUE,,No data fetched for symbol ABNRY using YahooDailyReader,,,,
92,ABMRF,ABN AMRO Bank NV,9.75,TRUE,2017,,,,,
93,AAVMY,ABN AMRO Bank NV,9.720000267,TRUE,2019,,,,,
94,ABTZY,Aboitiz Equity Ventures Inc,9.300000191,TRUE,2013,,,,,
95,ABZPF,Aboitiz Power Corp,0.644999981,TRUE,2013,,,,,
96,ABZPY,Aboitiz Power Corp,12.35000038,TRUE,2014,,,,,
97,ABBRF,AbraPlata Resource Corp,0.263999999,TRUE,2017,,,,,
98,AXAS,Abraxas Petroleum Corp,1.710000038,FALSE,2009,,,,,
99,ABSOF,ABS-CBN Holdings Corp,0.119999997,TRUE,2019,,,,,
100,AGRPF,Absa Group Ltd,11.60000038,TRUE,2012,,,,,
101,AGRPY,Absa Group Ltd,13.27000046,FALSE,2009,,,,,
102,ASCN,Absecon Bancorp,70,FALSE,2009,,,,,
103,ABSTF,Absolute Invest AG,$28.20 ,TRUE,,No data fetched for symbol ABSTF using YahooDailyReader,,,,
104,ABST,Absolute Software Corp,10.40999985,TRUE,2020,,,,,
105,ABHD,Abtech Holdings Inc,$1.08 ,TRUE,,No data fetched for symbol ABHD using YahooDailyReader,,,,
106,ABVN,ABV Consulting Inc,0.469999999,TRUE,2016,,,,,
107,ACPIF,AC Energy Philippines Inc,$0.03 ,TRUE,,No data fetched for symbol ACPIF using YahooDailyReader,,,,
108,ACIU,AC Immune SA,5.190000057,TRUE,2016,,,,,
109,ACPS,AC Partners Inc,62.5,TRUE,2012,,,,,
110,ACSX,AC Simmonds and Sons Inc,$10.25 ,TRUE,,No data fetched for symbol ACSX using YahooDailyReader,,,,
111,ACIA,Acacia Communications Inc,68.44999695,TRUE,2016,,,,,
112,ACCA,Acacia Diversified Holdings Inc,0.0199,FALSE,2009,,,,,
113,ABGLF,Acacia Mining PLC,$3.09 ,TRUE,,No data fetched for symbol ABGLF using YahooDailyReader,,,,
