,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,GZIC,GZ6G Technologies Corp,0.131999999,FALSE,2009,,24-Oct,7-Jan,5,5,6,6,24-Oct,7-Jan,9.879635934
1,GYTI,Gyrotron Technology Inc,0.07,TRUE,2012,,,,,,,,,,
2,GYRO,Gyrodyne LLC,16.62000084,FALSE,2009,,10-Jul,23-Sep,5,5,6,6,23-Jun,6-Sep,3.305968071
3,GMBEQ,Gymboree Holding Corp,$0.01 ,TRUE,,No data fetched for symbol GMBEQ using YahooDailyReader,,,,,,,,,
4,GYYMF,Gym Group (The) PLC,2.783299923,TRUE,2018,,,,,,,,,,
5,CLAGF,GxP German Properties AG,$1.10 ,TRUE,,No data fetched for symbol CLAGF using YahooDailyReader,,,,,,,,,
6,GXGX,GX Acquisition Corp,10.28999996,TRUE,2019,,,,,,,,,,
7,GWGWF,GWR Global Water Resources Corp,$6.50 ,TRUE,,'Date',,,,,,,,,
8,GWGH,GWG Holdings Inc,7.889999866,TRUE,2014,,,,,,,,,,
9,GWAXY,GWA Group Ltd,$9.33 ,TRUE,,No data fetched for symbol GWAXY using YahooDailyReader,,,,,,,,,
10,GWPRF,GW Pharmaceuticals PLC,9.710000038,FALSE,2010,,5-Apr,19-Jun,6,6,4,4,5-Apr,19-Jun,13.83657046
11,GWPH,GW Pharmaceuticals PLC,118.6999969,TRUE,2013,,,,,,,,,,
12,GVMUF,GVIC Communications Corp,$0.08 ,TRUE,,No data fetched for symbol GVMUF using YahooDailyReader,,,,,,,,,
13,GVCXF,GVIC Communications Corp,0.088200003,TRUE,2014,,,,,,,,,,
14,GMVHY,GVC Holdings PLC,13.47990036,TRUE,2020,,,,,,,,,,
15,GMVHF,GVC Holdings PLC,12.80000019,FALSE,2009,,23-Mar,6-Jun,4,3,5,6,23-Mar,6-Jun,15.8410756
16,GYNAF,Guyana Goldstrike Inc,0.092799999,TRUE,2013,,,,,,,,,,
